Date,Close
1987-07-01,24252.38086
1987-07-02,24636.46094
1987-07-03,24465.48047
1987-07-06,23870.85938
1987-07-07,23816.08984
1987-07-08,23472.41992
1987-07-09,23755.90039
1987-07-10,24102.99023
1987-07-13,24118.00977
1987-07-14,23931.5293
1987-07-15,23969.75977
1987-07-16,24003.60938
1987-07-17,23983.44922
1987-07-20,23328.64063
1987-07-21,23078.35938
1987-07-22,22702.74023
1987-07-23,23036.51953
1987-07-24,23942.93945
1987-07-27,24104.98047
1987-07-28,24385.82031
1987-07-29,24427.11914
1987-07-30,24510.36914
1987-07-31,24488.10938
1987-08-03,24483.82031
1987-08-04,24172.59961
1987-08-05,24297.15039
1987-08-06,24658.23047
1987-08-07,24800.94922
1987-08-10,25119.69922
1987-08-11,25282.9707
1987-08-12,25560.23047
1987-08-13,25575.74023
1987-08-14,25494.00977
1987-08-17,25378.88086
1987-08-18,25344.33984
1987-08-19,25231.58984
1987-08-20,25396.57031
1987-08-21,25559.17969
1987-08-24,25754.33008
1987-08-25,25643.39063
1987-08-26,25875.74023
1987-08-27,25968.7793
1987-08-28,25974.96094
1987-08-31,26029.2207
1987-09-01,26118.41992
1987-09-02,25946.59961
1987-09-03,25649.88086
1987-09-04,25744.0293
1987-09-07,25004.08984
1987-09-08,25204.08984
1987-09-09,24937.92969
1987-09-10,24795.24023
1987-09-11,24828.26953
1987-09-14,24954.01953
1987-09-15,24954.01953
1987-09-16,24967.73047
1987-09-17,24855.31055
1987-09-18,24844.83984
1987-09-21,24912.41992
1987-09-22,24866.06055
1987-09-23,24866.06055
1987-09-24,24944.88086
1987-09-25,25095.85938
1987-09-28,25837.33984
1987-09-29,25998
1987-09-30,26010.88086
1987-10-01,25721.74023
1987-10-02,25862.44922
1987-10-05,26018.33008
1987-10-06,26088.9707
1987-10-07,25952.26953
1987-10-08,26286.75
1987-10-09,26338.76953
1987-10-12,26284.65039
1987-10-13,26400.63086
1987-10-14,26646.42969
1987-10-15,26428.2207
1987-10-16,26366.74023
1987-10-19,25746.56055
1987-10-20,21910.08008
1987-10-21,23947.40039
1987-10-22,24404.44922
1987-10-23,23201.2207
1987-10-26,22202.56055
1987-10-27,22834.96094
1987-10-28,22577.5293
1987-10-29,22033.89063
1987-10-30,22765.03906
1987-11-02,23358.59961
1987-11-03,23358.59961
1987-11-04,23060.5293
1987-11-05,22629.65039
1987-11-06,22795.01953
1987-11-09,22418.36914
1987-11-10,21686.46094
1987-11-11,21036.75977
1987-11-12,21546.5
1987-11-13,22448.25
1987-11-16,22615.42969
1987-11-17,22344.2793
1987-11-18,22734.49023
1987-11-19,22668.80078
1987-11-20,22705.56055
1987-11-23,22705.56055
1987-11-24,22856.01953
1987-11-25,23219.68945
1987-11-26,23282.17969
1987-11-27,23268.61914
1987-11-30,22686.7793
1987-12-01,22832.89063
1987-12-02,22915.49023
1987-12-03,22808.16016
1987-12-04,22602.75
1987-12-07,22586.51953
1987-12-08,22948.33984
1987-12-09,22885.69922
1987-12-10,23280.83984
1987-12-11,23035.81055
1987-12-14,22926.2793
1987-12-15,22846.73047
1987-12-16,22819.41992
1987-12-17,22899.83008
1987-12-18,22826.9707
1987-12-21,22956.83984
1987-12-22,22741.01953
1987-12-23,22693.84961
1987-12-24,22543.36914
1987-12-25,22120.93945
1987-12-28,21564
1987-12-29,21564
1987-12-30,21564
1987-12-31,21564
1988-01-01,21564
1988-01-04,21217.03906
1988-01-05,21575.2793
1988-01-06,22790.5
1988-01-07,22792.13086
1988-01-08,22872.56055
1988-01-11,22578.42969
1988-01-12,22625.05078
1988-01-13,22324.99023
1988-01-14,22603.65039
1988-01-15,22603.65039
1988-01-18,22910.19922
1988-01-19,22898.16992
1988-01-20,22843.14063
1988-01-21,22710.25977
1988-01-22,22876.58008
1988-01-25,23318.40039
1988-01-26,23498.75977
1988-01-27,23335.91016
1988-01-28,23587.25
1988-01-29,23622.32031
1988-02-01,23732.32031
